Name,Bronze,Gold,Silver,Total
Mokgadi Caster Semenya,0,1,1,2
Monika Zehrt (-Landgraf),0,2,0,2
Monique Hennagan,0,2,0,2
Monique Marie Henderson,0,2,0,2
Morris Marshall Kirksey,0,1,1,2
Mutaz Essa Barshim,1,0,1,2
Mykola Viktorovych Avilov,1,1,0,2
NIELSEN Laviai,2,0,0,2
NORWOOD Vernon,0,1,1,2
Nabiba Naftali Temu,1,1,0,2
Nadezhda Khnik'ina-Dvalishvili,2,0,0,2
Nadiya Fedorivna Olizarenko (Mushta-),1,1,0,2
Naoto Tajima,1,1,0,2
Nataliya Ivanovna Sadova (Kaptyukh-),0,1,1,2
Nataliya Valeryevna Bochina,0,0,2,2
Nataliya Vyacheslavovna "Natasha" Sazanovich,1,0,1,2
Natasha Monique Hastings,0,2,0,2
Nicholas Ian "Nick" Willis,1,0,1,2
Nigel Chase Barker,2,0,0,2
Nils Erik Engdahl,1,0,1,2
Nils Georg berg,1,0,1,2
Nkemdilim "Mary" Onyali-Omagbemi,2,0,0,2
